GENDER,AGE,DEBT,MARRIED,BANK_CUSTOMER,EDUCATION_LEVEL,YEARS_EMPLOYED,PRIOR_DEFAULT,EMPLOYED,CITIZEN,INCOME,APPROVED
1,30.83,0,0,1,w,1.25,1,1,1,0,Yes
0,58.67,4.46,0,1,q,3.04,1,1,1,560,Yes
0,24.5,0.5,0,1,q,1.5,1,0,1,824,Yes
1,27.83,1.54,0,1,w,3.75,1,1,1,3,Yes
1,20.17,5.625,0,1,w,1.71,1,0,0,0,Yes
1,32.08,4,0,1,m,2.5,1,0,1,0,Yes
1,33.17,1.04,0,1,r,6.5,1,0,1,31285,Yes
0,22.92,11.585,0,1,cc,0.04,1,0,1,1349,Yes
1,54.42,0.5,1,0,k,3.96,1,0,1,314,Yes
1,42.5,4.915,1,0,w,3.165,1,0,1,1442,Yes
1,22.08,0.83,0,1,c,2.165,0,0,1,0,Yes
1,29.92,1.835,0,1,c,4.335,1,0,1,200,Yes
0,38.25,6,0,1,k,1,1,0,1,0,Yes
1,48.08,6.04,0,1,k,0.04,0,0,1,2690,Yes
0,45.83,10.5,0,1,q,5,1,1,1,0,Yes
1,36.67,4.415,1,0,k,0.25,1,1,1,0,Yes
1,28.25,0.875,0,1,m,0.96,1,1,1,0,Yes
1,54.58,9.415,0,1,ff,14.415,1,1,1,300,Yes
1,34.17,9.17,0,1,c,4.5,1,1,1,221,Yes
1,28.92,15,0,1,c,5.335,1,1,1,2283,Yes
1,29.67,1.415,0,1,w,0.75,1,1,1,100,Yes
1,39.58,13.915,0,1,w,8.625,1,1,1,0,Yes
1,56.42,28,1,0,c,28.5,1,1,1,15,Yes
1,54.33,6.75,0,1,c,2.625,1,1,1,284,Yes
0,41,2.04,1,0,q,0.125,1,1,1,1236,Yes
1,31.92,4.46,0,1,cc,6.04,1,1,1,300,Yes
1,41.5,1.54,0,1,i,3.5,0,0,1,0,Yes
1,23.92,0.665,0,1,c,0.165,0,0,1,0,Yes
0,25.75,0.5,0,1,c,0.875,1,0,1,0,Yes
1,26,1,0,1,q,1.75,1,0,1,0,Yes
1,37.42,2.04,0,1,w,0.04,1,0,1,5800,Yes
1,34.92,2.5,0,1,w,0,1,0,1,200,Yes
1,34.25,3,0,1,cc,7.415,1,0,1,0,Yes
1,23.33,11.625,1,0,w,0.835,1,0,1,300,Yes
1,23.17,0,0,1,cc,0.085,1,0,1,0,Yes
1,44.33,0.5,0,1,i,5,1,0,1,0,Yes
1,35.17,4.5,0,1,x,5.75,0,0,0,0,Yes
1,43.25,3,0,1,q,6,1,1,1,0,Yes
1,56.75,12.25,0,1,m,1.25,1,1,1,0,Yes
1,31.67,16.165,0,1,d,3,1,1,1,730,Yes
0,23.42,0.79,1,0,q,1.5,1,1,1,400,Yes
0,20.42,0.835,0,1,q,1.585,1,1,1,0,Yes
1,26.67,4.25,0,1,cc,4.29,1,1,1,0,Yes
1,34.17,1.54,0,1,cc,1.54,1,1,1,50000,Yes
0,36,1,0,1,c,2,1,1,1,456,Yes
1,25.5,0.375,0,1,m,0.25,1,1,1,15108,Yes
1,19.42,6.5,0,1,w,1.46,1,1,1,2954,Yes
1,35.17,25.125,0,1,x,1.625,1,1,1,500,Yes
1,32.33,7.5,0,1,e,1.585,1,0,0,0,No
0,38.58,5,0,1,cc,13.5,1,0,1,0,No
1,44.25,0.5,0,1,m,10.75,1,0,0,0,No
1,44.83,7,1,0,c,1.625,0,0,1,2,No
1,20.67,5.29,0,1,q,0.375,1,1,1,0,No
1,34.08,6.5,0,1,aa,0.125,1,0,1,0,No
0,19.17,0.585,1,0,aa,0.585,1,0,1,0,No
1,21.67,1.165,1,0,k,2.5,1,1,1,20,No
1,21.5,9.75,0,1,c,0.25,1,0,1,0,No
1,49.58,19,0,1,ff,0,1,1,1,0,No
0,27.67,1.5,0,1,m,2,1,0,0,0,No
1,39.83,0.5,0,1,m,0.25,1,0,0,0,No
1,27.25,0.625,0,1,aa,0.455,1,0,1,0,No
1,37.17,4,0,1,c,5,1,0,0,0,No
1,25.67,2.21,1,0,aa,4,1,0,1,0,No
1,34,4.5,0,1,aa,1,1,0,1,0,No
0,49,1.5,0,1,j,0,1,0,1,27,No
1,62.5,12.75,1,0,c,5,1,0,1,0,No
1,31.42,15.5,0,1,c,0.5,1,0,1,0,No
1,52.33,1.375,1,0,c,9.46,1,0,1,100,No
1,28.75,1.5,1,0,c,1.5,1,0,1,225,No
0,28.58,3.54,0,1,i,0.5,1,0,1,0,No
1,23,0.625,1,0,aa,0.125,1,0,1,1,No
0,22.5,11,1,0,q,3,1,0,1,0,No
0,28.5,1,0,1,q,1,1,1,1,500,No
1,37.5,1.75,1,0,c,0.25,1,0,1,400,No
1,35.25,16.5,1,0,c,4,1,0,1,0,No
1,18.67,5,0,1,q,0.375,1,1,1,38,No
1,25,12,0,1,k,2.25,1,1,1,5,No
1,27.83,4,1,0,i,5.75,1,1,1,0,No
1,54.83,15.5,0,1,e,0,1,1,1,130,No
1,28.75,1.165,0,1,k,0.5,1,0,0,0,No
0,25,11,1,0,aa,4.5,1,0,1,0,No
1,40.92,2.25,1,0,x,10,1,0,1,0,No
0,19.75,0.75,0,1,c,0.795,1,1,1,5,No
1,29.17,3.5,0,1,w,3.5,1,1,1,0,No
0,24.5,1.04,1,0,ff,0.5,1,1,1,147,No
1,24.58,12.5,0,1,w,0.875,1,0,1,0,No
0,33.75,0.75,0,1,k,1,1,1,1,0,No
1,20.67,1.25,1,0,c,1.375,1,1,1,210,No
0,25.42,1.125,0,1,q,1.29,1,1,1,0,No
1,37.75,7,0,1,q,11.5,1,1,1,5,No
1,52.5,6.5,0,1,k,6.29,1,1,1,11202,Yes
1,57.83,7.04,0,1,m,14,1,1,1,1332,Yes
0,20.75,10.335,0,1,cc,0.335,1,1,1,50,Yes
1,39.92,6.21,0,1,q,0.04,1,1,1,300,Yes
1,25.67,12.5,0,1,cc,1.21,1,1,1,258,Yes
0,24.75,12.5,0,1,aa,1.5,1,1,1,567,Yes
0,44.17,6.665,0,1,q,7.375,1,1,1,0,Yes
0,23.5,9,0,1,q,8.5,1,1,1,0,Yes
1,34.92,5,0,1,x,7.5,1,1,1,1000,Yes
1,47.67,2.5,0,1,m,2.5,1,1,1,2510,Yes
1,22.75,11,0,1,q,2.5,1,1,1,809,Yes
1,34.42,4.25,0,1,i,3.25,1,1,1,610,Yes
0,28.42,3.5,0,1,w,0.835,1,0,0,0,Yes
1,67.75,5.5,0,1,e,13,1,1,1,0,Yes
1,20.42,1.835,0,1,c,2.25,1,1,1,150,Yes
0,47.42,8,0,1,e,6.5,1,1,1,51100,Yes
1,36.25,5,0,1,c,2.5,1,1,1,367,Yes
1,32.67,5.5,0,1,q,5.5,1,1,1,1000,Yes
1,48.58,6.5,0,1,q,6,1,0,1,0,Yes
1,39.92,0.54,1,0,aa,0.5,1,1,1,1000,Yes
1,33.58,2.75,0,1,m,4.25,1,1,1,0,Yes
0,18.83,9.5,0,1,w,1.625,1,1,1,600,Yes
0,26.92,13.5,0,1,q,5,1,1,1,5000,Yes
0,31.25,3.75,0,1,cc,0.625,1,1,1,0,Yes
0,56.5,16,0,1,j,0,1,1,1,247,Yes
1,43,0.29,1,0,cc,1.75,1,1,1,375,Yes
1,22.33,11,0,1,w,2,1,1,1,278,Yes
1,27.25,1.665,0,1,cc,5.085,1,1,1,827,Yes
1,32.83,2.5,0,1,cc,2.75,1,1,1,2072,Yes
1,23.25,1.5,0,1,q,2.375,1,1,1,582,Yes
0,40.33,7.54,1,0,q,8,1,1,1,2300,Yes
0,30.5,6.5,0,1,c,4,1,1,1,3065,Yes
0,52.83,15,0,1,c,5.5,1,1,1,2200,Yes
0,46.67,0.46,0,1,cc,0.415,1,1,1,6,Yes
0,58.33,10,0,1,q,4,1,1,1,1602,Yes
1,37.33,6.5,0,1,m,4.25,1,1,1,0,Yes
1,23.08,2.5,0,1,c,1.085,1,1,1,2184,Yes
1,32.75,1.5,0,1,cc,5.5,1,1,1,0,Yes
0,21.67,11.5,1,0,j,0,1,1,1,0,Yes
0,28.5,3.04,1,0,x,2.54,1,1,1,0,Yes
0,68.67,15,0,1,e,0,1,1,1,3376,Yes
1,28,2,0,1,k,4.165,1,1,1,0,Yes
1,34.08,0.08,1,0,m,0.04,1,1,1,2000,Yes
1,27.67,2,0,1,x,1,1,1,1,7544,Yes
1,44,2,0,1,m,1.75,1,1,1,15,Yes
1,25.08,1.71,0,1,x,1.665,1,1,1,20,Yes
1,32,1.75,1,0,e,0.04,1,0,1,0,Yes
0,60.58,16.5,0,1,q,11,1,0,1,10561,Yes
0,40.83,10,0,1,q,1.75,1,0,1,837,Yes
1,19.33,9.5,0,1,q,1,1,0,1,400,Yes
0,32.33,0.54,0,1,cc,0.04,1,0,1,11177,Yes
1,36.67,3.25,0,1,q,9,1,0,1,639,Yes
1,37.5,1.125,1,0,d,1.5,0,0,1,0,Yes
0,25.08,2.54,1,0,aa,0.25,1,0,1,0,Yes
1,41.33,0,0,1,c,15,1,0,1,0,Yes
1,56,12.5,0,1,k,8,1,0,1,2028,Yes
0,49.83,13.585,0,1,k,8.5,1,0,1,0,Yes
1,22.67,10.5,0,1,q,1.335,1,0,1,0,Yes
1,27,1.5,1,0,w,0.375,1,0,1,1065,Yes
1,25,12.5,0,1,aa,3,1,0,0,0,Yes
0,26.08,8.665,0,1,aa,1.415,1,0,1,150,Yes
0,18.42,9.25,0,1,q,1.21,1,1,1,540,Yes
1,20.17,8.17,0,1,aa,1.96,1,1,1,158,Yes
1,47.67,0.29,0,1,c,15,1,1,1,15000,Yes
0,21.25,2.335,0,1,i,0.5,1,1,0,0,Yes
0,20.67,3,0,1,q,0.165,1,1,1,6,Yes
0,57.08,19.5,0,1,c,5.5,1,1,1,3000,Yes
0,22.42,5.665,0,1,q,2.585,1,1,1,3257,Yes
1,48.75,8.5,0,1,c,12.5,1,1,1,1655,Yes
1,40,6.5,0,1,aa,3.5,1,1,1,500,Yes
1,40.58,5,0,1,c,5,1,1,1,3065,Yes
0,28.67,1.04,0,1,c,2.5,1,1,1,1430,Yes
0,33.08,4.625,0,1,q,1.625,1,1,1,0,Yes
1,21.33,10.5,0,1,c,3,1,0,1,0,Yes
1,42,0.205,0,1,i,5.125,1,0,1,0,Yes
1,41.75,0.96,0,1,x,2.5,1,0,1,600,Yes
1,22.67,1.585,1,0,w,3.085,1,1,1,0,Yes
1,34.5,4.04,1,0,i,8.5,1,1,1,0,Yes
1,28.25,5.04,1,0,c,1.5,1,1,1,7,Yes
1,33.17,3.165,1,0,x,3.165,1,1,1,0,Yes
1,48.17,7.625,0,1,w,15.5,1,1,1,790,Yes
1,27.58,2.04,1,0,aa,2,1,1,1,560,Yes
1,22.58,10.04,0,1,x,0.04,1,1,1,396,Yes
0,24.08,0.5,0,1,q,1.25,1,1,1,678,Yes
0,41.33,1,0,1,i,2.25,1,0,1,300,Yes
0,20.75,10.25,0,1,q,0.71,1,1,1,0,Yes
1,36.33,2.125,1,0,w,0.085,1,1,1,1187,Yes
0,35.42,12,0,1,q,14,1,1,1,6590,Yes
1,28.67,9.335,0,1,q,5.665,1,1,1,168,Yes
1,35.17,2.5,0,1,k,4.5,1,1,1,1270,Yes
1,39.5,4.25,0,1,c,6.5,1,1,1,1210,Yes
1,39.33,5.875,0,1,cc,10,1,1,1,0,Yes
1,24.33,6.625,1,0,d,5.5,1,0,0,0,Yes
1,60.08,14.5,0,1,ff,18,1,1,1,1000,Yes
1,23.08,11.5,0,1,i,3.5,1,1,1,742,Yes
1,26.67,2.71,1,0,cc,5.25,1,1,1,0,Yes
1,48.17,3.5,0,1,aa,3.5,1,0,0,0,Yes
1,41.17,4.04,0,1,cc,7,1,1,1,0,Yes
1,55.92,11.5,0,1,ff,5,1,1,1,8851,Yes
1,53.92,9.625,0,1,e,8.665,1,1,1,0,Yes
0,18.92,9.25,1,0,c,1,1,1,1,500,Yes
0,50.08,12.54,0,1,aa,2.29,1,1,1,0,Yes
1,65.42,11,0,1,e,20,1,1,1,0,Yes
0,17.58,9,0,1,aa,1.375,1,0,1,0,Yes
0,18.83,9.54,0,1,aa,0.085,1,0,1,0,Yes
0,37.75,5.5,0,1,q,0.125,1,0,1,0,Yes
1,23.25,4,0,1,c,0.25,1,0,1,0,Yes
1,18.08,5.5,0,1,k,0.5,1,0,1,0,Yes
0,22.5,8.46,1,0,x,2.46,0,0,1,0,Yes
1,19.67,0.375,0,1,q,2,1,1,1,0,Yes
1,22.08,11,0,1,cc,0.665,1,0,1,0,Yes
1,25.17,3.5,0,1,cc,0.625,1,1,1,7059,Yes
0,47.42,3,0,1,x,13.875,1,1,1,1704,Yes
1,33.5,1.75,0,1,x,4.5,1,1,1,857,Yes
1,27.67,13.75,0,1,w,5.75,1,0,1,500,Yes
0,58.42,21,0,1,i,10,1,1,1,6700,Yes
0,20.67,1.835,0,1,q,2.085,1,1,1,2503,Yes
1,26.17,0.25,0,1,i,0,1,0,1,0,Yes
1,21.33,7.5,0,1,aa,1.415,1,1,1,9800,Yes
1,42.83,4.625,0,1,q,4.58,1,0,0,0,Yes
1,38.17,10.125,0,1,x,2.5,1,1,1,196,Yes
1,20.5,10,1,0,c,2.5,1,0,0,0,Yes
1,48.25,25.085,0,1,w,1.75,1,1,1,14,Yes
1,28.33,5,0,1,w,11,1,0,1,0,Yes
1,18.5,2,0,1,i,1.5,1,1,1,300,Yes
1,33.17,3.04,1,0,c,2.04,1,1,1,18027,Yes
1,45,8.5,0,1,cc,14,1,1,1,2000,Yes
0,19.67,0.21,0,1,q,0.29,1,1,1,99,Yes
1,21.83,11,0,1,x,0.29,1,1,1,0,Yes
1,40.25,21.5,0,1,e,20,1,1,1,1200,Yes
1,41.42,5,0,1,q,5,1,1,1,0,Yes
0,17.83,11,0,1,x,1,1,1,1,3000,Yes
1,23.17,11.125,0,1,x,0.46,1,1,1,0,Yes
1,18.17,10.25,0,1,c,1.085,0,0,1,13,No
1,20,11.045,0,1,c,2,0,0,1,0,No
1,20,0,0,1,d,0.5,0,0,1,0,No
0,20.75,9.54,0,1,i,0.04,0,0,1,1000,No
0,24.5,1.75,1,0,c,0.165,0,0,1,0,No
1,32.75,2.335,0,1,d,5.75,0,0,1,0,No
0,52.17,0,1,0,ff,0,0,0,1,0,No
0,48.17,1.335,0,1,i,0.335,0,0,1,120,No
0,20.42,10.5,1,0,x,0,0,0,1,32,No
1,50.75,0.585,0,1,ff,0,0,0,1,0,No
1,17.08,0.085,1,0,c,0.04,0,0,1,722,No
1,18.33,1.21,1,0,e,0,0,0,1,0,No
0,32,6,0,1,d,1.25,0,0,1,0,No
1,59.67,1.54,0,1,q,0.125,1,0,1,0,Yes
1,18,0.165,0,1,q,0.21,0,0,1,40,Yes
